0,13,1
0,25,2
1,17,1
1,20,1
2,17,1
2,20,1
3,34,1
3,37,1
3,8,1
4,13,1
4,17,1
4,32,1
5,17,1
5,17,1
5,29,1
5,29,1
6,32,3
6,8,1
7,12,1
7,15,1
8,12,1
8,15,1
9,27,3
9,3,1
10,12,1
10,8,1
11,12,1
11,8,1
12,13,1
12,25,2
13,17,1
13,20,1
14,17,1
14,20,1
14,37,1
15,34,1
15,8,1
16,13,1
16,17,1
16,32,1
17,17,1
17,17,1
18,32,5
18,8,1
19,12,1
19,15,1
20,12,1
20,15,1
21,8,1
22,9,1
23,10,1
24,10,1
24,34,1
25,14,1
25,17,1
25,33,1
26,14,1
26,17,1
26,34,1
27,29,1
27,5,1
28,14,1
28,17,1
28,30,1
29,14,1
29,17,1
29,32,1
30,15,1
30,34,2
31,18,1
31,22,1
32,18,1
32,22,1
32,30,1
33,10,1
33,27,3
34,18,1
34,22,1
35,18,1
35,22,1
36,15,1
36,34,2
37,19,1
37,22,1
38,19,1
38,22,1
38,34,1
39,10,1
39,34,1
40,19,1
40,22,1
40,36,1
41,19,1
41,22,1
41,37,1
42,39,1
42,8,1
43,20,1
43,24,1
43,36,1
44,20,1
44,24,1
44,34,1
45,15,1
45,32,1
46,18,1
46,20,1
46,24,1
46,29,1
47,18,1
47,20,1
47,24,1
47,27,1
48,13,1
48,25,2
49,17,1
49,20,1
50,17,1
50,20,1
50,37,1
51,34,1
51,8,1
52,13,1
52,17,1
52,32,1
53,13,1
53,17,1
53,29,1
54,32,3
54,8,1
55,12,1
55,15,1
56,12,1
56,15,1
57,27,2
57,3,1
58,12,1
58,8,1
59,12,1
59,27,1
59,8,1
60,13,1
60,25,2
61,17,1
61,20,1
62,17,1
62,20,1
62,27,1
63,13,1
63,29,1
64,20,1
64,23,1
64,30,1
65,20,1
65,23,1
65,32,1
66,18,1
66,34,4
67,22,1
67,25,1
68,22,1
68,25,1
69,13,1
70,22,1
70,25,1
70,34,1
71,22,1
71,25,1
71,36,1
72,18,1
72,37,3
73,22,1
73,25,1
74,22,1
74,25,1
75,19,1
75,37,3
76,22,1
76,25,1
77,22,1
77,25,1
78,20,1
78,37,1
79,25,1
79,29,1
79,36,1
80,25,1
80,29,1
80,34,1
81,17,1
81,32,1
82,20,1
82,25,1
82,31,1
83,20,1
83,25,1
83,32,1
84,15,1
84,34,3
85,19,1
85,22,1
86,19,1
86,22,1
87,36,3
87,8,1
88,15,1
88,18,1
89,15,1
89,18,1
90,1,5
90,37,5
